date,store_id,product_id,product_name,category,closing_stock,reorder_level,issue_type,severity,recommendation,reason
2025-03-31,1,1002,India Gate Rice 2,Grocery,307,22,Overstock,Low,Transfer Excess Inventory,Closing stock (307) exceeds overstock threshold (300)
2025-03-31,1,1003,India Gate Rice 3,Grocery,368,49,Overstock,Low,Transfer Excess Inventory,Closing stock (368) exceeds overstock threshold (300)
2025-03-31,1,1017,India Gate Rice 17,Grocery,373,31,Overstock,Low,Transfer Excess Inventory,Closing stock (373) exceeds overstock threshold (300)
2025-03-31,1,1019,India Gate Rice 19,Grocery,306,86,Overstock,Low,Transfer Excess Inventory,Closing stock (306) exceeds overstock threshold (300)
2025-03-31,1,1021,Daawat Rice 1,Grocery,361,70,Overstock,Low,Transfer Excess Inventory,Closing stock (361) exceeds overstock threshold (300)
2025-03-31,1,1026,Daawat Rice 6,Grocery,60,88,Understock,Medium,Reorder / Receive Inventory,Closing stock (60) below reorder level (88)
2025-03-31,1,1028,Daawat Rice 8,Grocery,365,84,Overstock,Low,Transfer Excess Inventory,Closing stock (365) exceeds overstock threshold (300)
2025-03-31,1,1032,Daawat Rice 12,Grocery,57,77,Understock,Low,Reorder / Receive Inventory,Closing stock (57) below reorder level (77)
2025-03-31,1,1033,Daawat Rice 13,Grocery,329,24,Overstock,Low,Transfer Excess Inventory,Closing stock (329) exceeds overstock threshold (300)
2025-03-31,1,1041,Fortune Rice 1,Grocery,343,61,Overstock,Low,Transfer Excess Inventory,Closing stock (343) exceeds overstock threshold (300)
2025-03-31,1,1044,Fortune Rice 4,Grocery,352,95,Overstock,Low,Transfer Excess Inventory,Closing stock (352) exceeds overstock threshold (300)
2025-03-31,1,1048,Fortune Rice 8,Grocery,364,23,Overstock,Low,Transfer Excess Inventory,Closing stock (364) exceeds overstock threshold (300)
2025-03-31,1,1049,Fortune Rice 9,Grocery,78,92,Understock,Low,Reorder / Receive Inventory,Closing stock (78) below reorder level (92)
2025-03-31,1,1052,Fortune Rice 12,Grocery,332,49,Overstock,Low,Transfer Excess Inventory,Closing stock (332) exceeds overstock threshold (300)
2025-03-31,1,1058,Fortune Rice 18,Grocery,349,29,Overstock,Low,Transfer Excess Inventory,Closing stock (349) exceeds overstock threshold (300)
2025-03-31,1,1066,Aashirvaad Atta 6,Grocery,316,42,Overstock,Low,Transfer Excess Inventory,Closing stock (316) exceeds overstock threshold (300)
2025-03-31,1,1084,Fortune Atta 4,Grocery,305,31,Overstock,Low,Transfer Excess Inventory,Closing stock (305) exceeds overstock threshold (300)
2025-03-31,1,1088,Fortune Atta 8,Grocery,311,29,Overstock,Low,Transfer Excess Inventory,Closing stock (311) exceeds overstock threshold (300)
2025-03-31,1,1089,Fortune Atta 9,Grocery,363,74,Overstock,Low,Transfer Excess Inventory,Closing stock (363) exceeds overstock threshold (300)
2025-03-31,1,1093,Fortune Atta 13,Grocery,352,72,Overstock,Low,Transfer Excess Inventory,Closing stock (352) exceeds overstock threshold (300)
2025-03-31,1,1097,Fortune Atta 17,Grocery,57,78,Understock,Medium,Reorder / Receive Inventory,Closing stock (57) below reorder level (78)
2025-03-31,1,1100,Fortune Atta 20,Grocery,320,27,Overstock,Low,Transfer Excess Inventory,Closing stock (320) exceeds overstock threshold (300)
2025-03-31,1,1104,Pillsbury Atta 4,Grocery,353,99,Overstock,Low,Transfer Excess Inventory,Closing stock (353) exceeds overstock threshold (300)
2025-03-31,1,1113,Pillsbury Atta 13,Grocery,349,27,Overstock,Low,Transfer Excess Inventory,Closing stock (349) exceeds overstock threshold (300)
2025-03-31,1,1114,Pillsbury Atta 14,Grocery,343,44,Overstock,Low,Transfer Excess Inventory,Closing stock (343) exceeds overstock threshold (300)
2025-03-31,1,1116,Pillsbury Atta 16,Grocery,315,21,Overstock,Low,Transfer Excess Inventory,Closing stock (315) exceeds overstock threshold (300)
2025-03-31,1,1120,Pillsbury Atta 20,Grocery,361,57,Overstock,Low,Transfer Excess Inventory,Closing stock (361) exceeds overstock threshold (300)
2025-03-31,1,1123,Fortune Oil 3,Grocery,373,77,Overstock,Low,Transfer Excess Inventory,Closing stock (373) exceeds overstock threshold (300)
2025-03-31,1,1125,Fortune Oil 5,Grocery,360,20,Overstock,Low,Transfer Excess Inventory,Closing stock (360) exceeds overstock threshold (300)
2025-03-31,1,1126,Fortune Oil 6,Grocery,39,91,Understock,High,Reorder / Receive Inventory,Closing stock (39) below reorder level (91)
2025-03-31,1,1135,Fortune Oil 15,Grocery,320,62,Overstock,Low,Transfer Excess Inventory,Closing stock (320) exceeds overstock threshold (300)
2025-03-31,1,1136,Fortune Oil 16,Grocery,307,92,Overstock,Low,Transfer Excess Inventory,Closing stock (307) exceeds overstock threshold (300)
2025-03-31,1,1141,Saffola Oil 1,Grocery,55,92,Understock,Medium,Reorder / Receive Inventory,Closing stock (55) below reorder level (92)
2025-03-31,1,1142,Saffola Oil 2,Grocery,76,83,Understock,Low,Reorder / Receive Inventory,Closing stock (76) below reorder level (83)
2025-03-31,1,1143,Saffola Oil 3,Grocery,318,71,Overstock,Low,Transfer Excess Inventory,Closing stock (318) exceeds overstock threshold (300)
2025-03-31,1,1144,Saffola Oil 4,Grocery,341,60,Overstock,Low,Transfer Excess Inventory,Closing stock (341) exceeds overstock threshold (300)
2025-03-31,1,1153,Saffola Oil 13,Grocery,336,53,Overstock,Low,Transfer Excess Inventory,Closing stock (336) exceeds overstock threshold (300)
2025-03-31,1,1155,Saffola Oil 15,Grocery,318,45,Overstock,Low,Transfer Excess Inventory,Closing stock (318) exceeds overstock threshold (300)
2025-03-31,1,1156,Saffola Oil 16,Grocery,314,92,Overstock,Low,Transfer Excess Inventory,Closing stock (314) exceeds overstock threshold (300)
2025-03-31,1,1158,Saffola Oil 18,Grocery,304,63,Overstock,Low,Transfer Excess Inventory,Closing stock (304) exceeds overstock threshold (300)
2025-03-31,1,1159,Saffola Oil 19,Grocery,328,65,Overstock,Low,Transfer Excess Inventory,Closing stock (328) exceeds overstock threshold (300)
2025-03-31,1,1166,Dhara Oil 6,Grocery,304,33,Overstock,Low,Transfer Excess Inventory,Closing stock (304) exceeds overstock threshold (300)
2025-03-31,1,1170,Dhara Oil 10,Grocery,306,28,Overstock,Low,Transfer Excess Inventory,Closing stock (306) exceeds overstock threshold (300)
2025-03-31,1,1171,Dhara Oil 11,Grocery,348,89,Overstock,Low,Transfer Excess Inventory,Closing stock (348) exceeds overstock threshold (300)
2025-03-31,1,1174,Dhara Oil 14,Grocery,47,98,Understock,High,Reorder / Receive Inventory,Closing stock (47) below reorder level (98)
2025-03-31,1,1177,Dhara Oil 17,Grocery,388,93,Overstock,Low,Transfer Excess Inventory,Closing stock (388) exceeds overstock threshold (300)
2025-03-31,1,1179,Dhara Oil 19,Grocery,379,56,Overstock,Low,Transfer Excess Inventory,Closing stock (379) exceeds overstock threshold (300)
2025-03-31,1,1187,Madhur Sugar 7,Grocery,340,65,Overstock,Low,Transfer Excess Inventory,Closing stock (340) exceeds overstock threshold (300)
2025-03-31,1,1188,Madhur Sugar 8,Grocery,349,80,Overstock,Low,Transfer Excess Inventory,Closing stock (349) exceeds overstock threshold (300)
2025-03-31,1,1190,Madhur Sugar 10,Grocery,368,24,Overstock,Low,Transfer Excess Inventory,Closing stock (368) exceeds overstock threshold (300)
2025-03-31,1,1193,Madhur Sugar 13,Grocery,345,96,Overstock,Low,Transfer Excess Inventory,Closing stock (345) exceeds overstock threshold (300)
2025-03-31,1,1196,Madhur Sugar 16,Grocery,344,32,Overstock,Low,Transfer Excess Inventory,Closing stock (344) exceeds overstock threshold (300)
2025-03-31,1,1200,Madhur Sugar 20,Grocery,335,44,Overstock,Low,Transfer Excess Inventory,Closing stock (335) exceeds overstock threshold (300)
2025-03-31,1,1214,Trust Sugar 14,Grocery,316,51,Overstock,Low,Transfer Excess Inventory,Closing stock (316) exceeds overstock threshold (300)
2025-03-31,1,1216,Trust Sugar 16,Grocery,60,100,Understock,Medium,Reorder / Receive Inventory,Closing stock (60) below reorder level (100)
2025-03-31,1,1217,Trust Sugar 17,Grocery,87,90,Understock,Low,Reorder / Receive Inventory,Closing stock (87) below reorder level (90)
2025-03-31,1,1222,Organic India Sugar 2,Grocery,358,25,Overstock,Low,Transfer Excess Inventory,Closing stock (358) exceeds overstock threshold (300)
2025-03-31,1,1223,Organic India Sugar 3,Grocery,342,53,Overstock,Low,Transfer Excess Inventory,Closing stock (342) exceeds overstock threshold (300)
2025-03-31,1,1228,Organic India Sugar 8,Grocery,38,39,Understock,Low,Reorder / Receive Inventory,Closing stock (38) below reorder level (39)
2025-03-31,1,1229,Organic India Sugar 9,Grocery,312,56,Overstock,Low,Transfer Excess Inventory,Closing stock (312) exceeds overstock threshold (300)
2025-03-31,1,1231,Organic India Sugar 11,Grocery,305,96,Overstock,Low,Transfer Excess Inventory,Closing stock (305) exceeds overstock threshold (300)
2025-03-31,1,1237,Organic India Sugar 17,Grocery,316,94,Overstock,Low,Transfer Excess Inventory,Closing stock (316) exceeds overstock threshold (300)
2025-03-31,1,1241,Amul Milk 1,Dairy,320,24,Overstock,Low,Transfer Excess Inventory,Closing stock (320) exceeds overstock threshold (300)
2025-03-31,1,1242,Amul Milk 2,Dairy,345,89,Overstock,Low,Transfer Excess Inventory,Closing stock (345) exceeds overstock threshold (300)
2025-03-31,1,1246,Amul Milk 6,Dairy,302,74,Overstock,Low,Transfer Excess Inventory,Closing stock (302) exceeds overstock threshold (300)
2025-03-31,1,1253,Amul Milk 13,Dairy,303,59,Overstock,Low,Transfer Excess Inventory,Closing stock (303) exceeds overstock threshold (300)
2025-03-31,1,1254,Amul Milk 14,Dairy,379,69,Overstock,Low,Transfer Excess Inventory,Closing stock (379) exceeds overstock threshold (300)
2025-03-31,1,1257,Amul Milk 17,Dairy,329,41,Overstock,Low,Transfer Excess Inventory,Closing stock (329) exceeds overstock threshold (300)
